,station_id,place_name,latitude,longitude,address,categories
0,0,The Don Valley Brick Works Park,43.68452564386949,-79.3652038393199,"Bayview Ave, Toronto ON M4W 3X8",['Park']
1,0,Chorley Park,43.68737718641101,-79.37080317512601,"250 Douglas Dr. (Glenn Rd.(Summerhill Av.)), Toronto ON M4W 2C1",['Park']
2,0,Moore Park Ravine,43.69369145366914,-79.37976168684268,"205 Moore Ave, Toronto ON M4T 2K7",['Park']
3,0,David A. Balfour Park,43.68560718434005,-79.38825297755746,"200 Mount Pleasant Rd, Toronto ON M4T 2C4",['Park']
4,0,Craigleigh Gardens,43.67700498939744,-79.37369184009566,"160 South Drive (at Elm Ave), Toronto ON",['Park']
5,0,Carstowe Road Lands,43.6860170996969,-79.37872744250902,"Carstowe Road, Toronto ON",['Park']
6,0,Rosedale Park,43.68345834220938,-79.37761854587707,"38 Scholfield Ave. (at Edgar Ave.), Toronto ON M4W 2Y3",['Playground']
7,0,UG3 Live,43.68972317790199,-79.3740769696311,"77 Blue Jays Way, Toronto ON",['Dive Bar']
8,0,Whitney Park,43.68194333187773,-79.37372865521321,Ontario,['Park']
9,0,Whitehall Parkette,43.684296,-79.38313,Toronto ON M4W 2C5,['Park']
10,1,Delina Restaurant,43.66868785659806,-79.30530856610207,"1891 Queen St E (Woodbine), Toronto ON M4L 1H3",['Middle Eastern Restaurant']
11,1,Woodbine Park,43.66486036311473,-79.31510925292969,"Queen St (at Kingston Rd), Toronto ON M4L 1G7",['Park']
12,1,Kew Gardens,43.66903821389327,-79.29853750338029,"2075 Queen Street East (btwn Waverly Rd. & Lee Ave.), Toronto ON M4L 1J1","['Park', 'Garden']"
13,1,Ashbridge's Bay Park,43.6618219590429,-79.3104239962397,"Ashbridge's Bay Park Rd., Toronto ON M4M 1B4","['Park', 'Beach', 'Arts and Entertainment']"
14,1,Sunset Grill,43.67021370116725,-79.29965336344807,"2006 Queen St. E (at Lee Ave.), Toronto ON M4L 1J3","['Diner', 'Breakfast Spot']"
15,1,Cinamon Indian Bistro,43.669776177297976,-79.30187908253666,"1966 Queen St E (at Kenilworth Ave), Toronto ON M4L 1H8",['Indian Restaurant']
16,1,Kew Gardens Play Park,43.66926676521643,-79.29968375785205,,['Park']
17,1,The Burger's Priest,43.666730640369295,-79.31555614915459,"1636 Queen St. E. (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",['Fast Food Restaurant']
18,1,Kew Beach Off Leash Dog Park,43.66596061333628,-79.29716360079509,Toronto ON,['Dog Park']
19,1,The Stone Lion,43.669625318065684,-79.30241650918859,"1958 Queen St E (Kenilworth), Toronto ON M4L 1H6",['Pub']
20,2,Duckworth's Fish and Chips,43.68872893646119,-79.29985742746301,"2638 Danforth Ave. (Main St.), Toronto ON M4C 1L7",['Fish and Chips Shop']
21,2,Il Cucina,43.691420446060576,-79.28816338592723,"Danforth Ave, Toronto ON M1L 1B1",['Italian Restaurant']
