,id,name,href,company,gbfs_href,location.latitude,location.longitude,location.city,location.country,system,source,ebikes,license.name,license.url,scooters,instances
118,bicincitta-parco-dei-colli-di-bergamo,Bicincittà,/v2/networks/bicincitta-parco-dei-colli-di-bergamo,['Comunicare S.r.l.'],,45.72295637032245,9.649230073016383,Parco dei Colli di Bergamo,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=203,,,,,
119,bicincitta-parco-molentargius-saline,Bicincittà,/v2/networks/bicincitta-parco-molentargius-saline,['Comunicare S.r.l.'],,39.2052545,9.146761099999999,Parco Naturale Molentargius - Saline,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=151,,,,,
120,bicincitta-pista,PisTA!,/v2/networks/bicincitta-pista,['Comunicare S.r.l.'],,40.4351,17.2096,Taranto,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=270,,,,,
121,bicincitta-pizzighettone-formigara,Bicincittà,/v2/networks/bicincitta-pizzighettone-formigara,['Comunicare S.r.l.'],,45.186748819167434,9.778087948479424,Pizzighettone e Formigara,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=209,,,,,
122,bicincitta-porto-torres,Bicincittà,/v2/networks/bicincitta-porto-torres,['Comunicare S.r.l.'],,40.8333682,8.402292899999999,Porto Torres,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=221,,,,,
123,bicincitta-rivarolo-canavese,Bicincittà,/v2/networks/bicincitta-rivarolo-canavese,['Comunicare S.r.l.'],,45.306633,7.723242,Rivarolo Canavese,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=227,,,,,
124,bicincitta-san-donato-milanese,Bicincittà,/v2/networks/bicincitta-san-donato-milanese,['Comunicare S.r.l.'],,45.4092402,9.2684867,San Donato Milanese,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=234,,,,,
125,bicincitta-san-giovanni-in-persiceto,Mi Muovo in Bici,/v2/networks/bicincitta-san-giovanni-in-persiceto,['Comunicare S.r.l.'],,44.6405433,11.1893053,San Giovanni in Persiceto,IT,Bicincittà,http://www.mimuovoinbici.it/frmLeStazioni.aspx?ID=101,,,,,
126,bicincitta-san-lazzaro-di-savena,Mi Muovo in Bici,/v2/networks/bicincitta-san-lazzaro-di-savena,['Comunicare S.r.l.'],,44.4702725,11.409399,San Lazzaro di Savena,IT,Bicincittà,http://www.mimuovoinbici.it/frmLeStazioni.aspx?ID=100,,,,,
127,bicincitta-san-michele-alladige,Bicincittà,/v2/networks/bicincitta-san-michele-alladige,['Comunicare S.r.l.'],,46.1878653,11.1330423,San Michele All'adige,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=231,,,,,
